Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6IdcyYfBz9LG3SWIKVyNgh,"Arranca (feat. Omega)","Arranca (feat. Omega)","Becky G;Omega",2023-03-10,166529,64,false,vane_sarahi,2023-03-28T02:22:16Z,"reggaeton,latin,mambo,merengue","Kemosabe Records/RCA Records",0.931,0.793,0,-4.666,0,0.133,0.0378,0.00000463,0.0748,0.856,117.999,4
spotify:track:1CMPYloogotoC6z9n9wdQT,"Diablita Remix","Diablita Remix","Fabbio;Omar Montes;Lennis Rodriguez;Chus Santana",2021-07-09,202191,45,true,vane_sarahi,2023-03-28T02:22:36Z,"flamenco urbano,flamenco,flamenco pop,bachata","Zamara Music S.L.",0.745,0.843,1,-4.383,0,0.0632,0.0898,0,0.264,0.893,135.95,4
spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52/66","Quevedo: Bzrp Music Sessions, Vol. 52/66","Bizarrap;Quevedo",2022-07-06,198937,81,false,vane_sarahi,2023-07-11T14:36:21Z,"argentine trap,trap latino,urbano latino","DALE PLAY Records",0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
spotify:track:7CHQxOFzy0LpXl05Qp3kHw,"Sigue - Bachata Version","Sigue (Bachata Version)","Dj Nassos B;Khris Joe",2022-05-17,196153,26,true,vane_sarahi,2023-07-11T23:48:05Z,"bachata","DJ Nassos B",0.79,0.741,11,-5.261,0,0.0338,0.329,0,0.392,0.741,103.994,4
spotify:track:6ebo7CQn4ILLGvXRmXHhQz,"Miénteme","Cupido","TINI;Maria Becerra",2023-02-16,165275,74,false,vane_sarahi,2023-07-12T14:44:11Z,"latin pop,argentine trap","5020 Records",0.85,0.546,2,-4.534,1,0.0654,0.161,0.00000613,0.296,0.906,92.002,4
spotify:track:5eyO0n1HiiSWdGaaSoK731,"2:50 Remix","SUENA MYA!","MYA;TINI;Duki",2021-11-23,231708,55,false,vane_sarahi,2023-07-12T23:41:56Z,"cuarteto,latin pop,argentine trap,trap,trap latino","Columbia",0.819,0.809,9,-4.426,1,0.0478,0.113,0,0.23,0.836,139.969,4
spotify:track:7GrffUxvaKz4wKmyutin0P,"Consejo de Amor (feat. Morat)","Quiero Volver","TINI;Morat",2018-10-12,199717,71,false,vane_sarahi,2023-07-12T23:50:11Z,"latin pop,colombian pop","5020 Records",0.475,0.717,0,-6.712,1,0.102,0.194,0,0.101,0.646,83.869,4
spotify:track:4Yip3hds5IHyT7AqoNHfmX,"Wow Wow (feat. Becky G)","Animal","Maria Becerra;Becky G",2021-08-26,199772,53,false,vane_sarahi,2023-07-12T23:55:47Z,"argentine trap,reggaeton,latin","300 Entertainment",0.744,0.679,5,-3.51,1,0.0791,0.0654,0.00429,0.0966,0.866,176.024,4
spotify:track:6NNefyOry8y8v4rDhOtCIu,"Olvidate","Olvidate","Loukas",2020-07-17,192760,35,false,vane_sarahi,2023-07-14T14:31:01Z,"bachata","Production Editions Pirris",0.78,0.673,2,-5.117,0,0.0359,0.203,0.0000021,0.149,0.725,124.944,4
spotify:track:1spjTB2jFkxAvMdKas3x2H,"París","KITSUNE","Ingratax",2022-11-24,151428,61,false,vane_sarahi,2023-07-14T23:56:08Z,"","Room28",0.588,0.46,1,-5.748,0,0.1,0.452,0.000777,0.0667,0.414,168.012,4
spotify:track:3nfICwo20uiFdEGzgNUSrG,"Formentera","Formentera","Aitana;Nicki Nicole",2021-12-02,207333,59,false,vane_sarahi,2023-07-25T23:37:36Z,"argentine trap","Universal Music Spain S.L.",0.781,0.645,1,-4.136,0,0.0399,0.0903,0.00000158,0.226,0.803,128.007,4
spotify:track:5TMLavqGRKNxgzMBrVpC9R,"Mon Amour - Remix","Mon Amour (Remix)","zzoilo;Aitana",2021-08-18,179940,77,false,vane_sarahi,2023-07-25T23:45:45Z,"latin pop","Universal Music Spain S.L.",0.748,0.761,2,-6.621,1,0.102,0.122,0.00000656,0.0984,0.362,116.041,4
spotify:track:5R2hNuiiwnKVAUNktF9j2Y,"mariposas","mariposas","sangiovanni;Aitana",2022-06-02,154000,62,false,vane_sarahi,2023-07-25T23:51:10Z,"","Universal Music Italia srL. (Sugar)",0.692,0.75,0,-4.328,0,0.0411,0.145,0,0.133,0.443,120.037,4
spotify:track:20CozgjF6bshBw8cLhN23B,"Nochentera","Nochentera","Vicco",2022-12-19,202184,60,false,vane_sarahi,2023-07-25T23:53:28Z,"","Sony Music Entertainment",0.802,0.728,8,-6.456,0,0.0533,0.0233,0,0.119,0.782,121.92,4
spotify:track:0NOQxWnuz95a7nCgoGh7Jc,"100 X Hora","100 X Hora","Kewin Cosmos",2023-01-13,200290,48,false,vane_sarahi,2023-07-26T23:47:54Z,"bachata","5 BORO MUSIC",0.733,0.704,0,-6.154,0,0.0336,0.524,0.0000304,0.133,0.789,123.979,4
spotify:track:1Slf2P4UgdqzeTp3eBJbpB,"Alucinante - DJ Tony Pecino Remix Bachata Version","Alucinante (DJ Tony Pecino Remix Bachata Version)","Liley;Nando Boom;DJ Tony Pecino",2021-12-17,177714,38,false,vane_sarahi,2023-07-28T14:32:34Z,"bachata","House Of Records Ink",0.779,0.783,8,-4.834,1,0.0325,0.608,0,0.101,0.868,104.923,4
spotify:track:5mcYWxQAAlqGAhEPqVMMR5,"En El Coche","En El Coche","Aitana",2022-03-31,125080,51,false,vane_sarahi,2023-07-28T14:48:00Z,"","Universal Music Spain S.L.",0.856,0.65,1,-4,0,0.0952,0.15,0.00000113,0.375,0.893,128.03,4
spotify:track:4bnutybG1itDcpyoQo2Uoc,"Habit","Habit","Laurell",2021-04-09,180640,52,false,vane_sarahi,2023-07-29T00:02:44Z,"","FFMM GmbH",0.706,0.753,11,-4.988,1,0.0339,0.0143,0.000143,0.0919,0.855,98.028,4
spotify:track:2M9f2saBfNTVVMrhAR8Zzo,"Boquita Sensual","Boquita Sensual","Chris Paradise",2022-11-10,203093,38,false,vane_sarahi,2023-08-02T14:28:48Z,"bachata","21 MUSIC IMPERATORƎ",0.824,0.597,10,-7.825,1,0.0601,0.256,0,0.0993,0.581,104.047,4
